0.00000000	5800000.00000000	200.00000000,	0.00000000
0.50000000	5799981.65591369	211.00644018,	7.33764613
1.37603285	5799947.04873281	231.77066363,	21.18060356
2.40999120	5799901.79595485	258.92209453,	39.28195062
3.56147410	5799845.13371594	292.91894340,	61.94734066
4.79998224	5799775.85879287	334.48299184,	89.65821528
6.10651596	5799692.09881783	384.73744011,	123.16374206
7.46758983	5799591.43362693	445.13406748,	163.43230558
8.87319707	5799470.86334882	517.47233544,	211.66431573
10.31565681	5799326.73673463	603.94232755,	269.32093782
11.78894096	5799154.64594162	707.18779045,	338.16626793
13.28824541	5798949.29082455	830.38743207,	420.32174338
14.80970087	5798704.31065830	977.35570637,	518.33363532
16.35016893	5798412.07872270	1152.66580246,	635.25547485
17.90709318	5798063.45319756	1361.79873499,	774.74806745
19.47838757	5797647.47589517	1611.32357098,	941.20053385
21.06235108	5797151.00823540	1909.11507905,	1139.87668555
22.65760153	5796558.29137676	2264.61655174,	1377.09207151
24.26302383	5795850.41440426	2689.15731349,	1660.42828224
25.87772935	5795004.67076851	3196.33658558,	1998.99264591
27.50102418	5793993.77857997	3802.48803779,	2403.73338224
29.13238458	5792784.93462075	4527.24266307,	2887.82271618
30.77143857	5791338.66471561	5394.21174021,	3467.12354418
32.41795280	5789607.42395259	6431.81684205,	4160.75920537
34.07182419	5787533.88855877	7674.30041865,	4991.81102258
35.73307616	5785048.86618543	9162.95886634,	5988.17494822
37.40185941	5782068.73178765	10947.65077074,	7183.61744161
39.07845729	5778492.27054052	13088.64701755,	8619.08244193
40.76329658	5774196.77499282	15658.90784613,	10344.31716104
42.45696411	5769033.19741278	18746.89639275,	12419.90619447
44.16023072	5762820.09490696	22460.07129422,	14919.83379882
45.87408427	5755336.01645414	26929.24627543,	17934.73727043
47.59970535	5746310.24912163	32313.83320979,	21575.91766858
49.33746249	5735418.16516587	38804.20317635,	25977.63165778
51.08927622	5722254.39294270	46637.05592333,	31308.55113397
52.85741537	5706318.76465108	56102.81594016,	37778.41940876
54.64470555	5686990.28623917	67559.63695842,	45650.07680241
56.45469057	5663493.12908005	81451.30329283,	55255.56762712
58.29186537	5634850.50911795	98330.95652343,	67018.53435862
60.16200799	5599820.81351936	118893.08933201,	81486.09714864
62.07266760	5556806.72404506	144017.69015154,	99375.58580340
64.03390809	5503721.58360816	174832.92335656,	121645.49303529
66.05949164	5437784.66298560	212807.42246001,	149607.91455439
68.16886680	5355190.80267734	259892.72581674,	185116.47150593
70.39074813	5250540.26736712	318757.23975083,	230902.49288205
72.77018415	5115761.59485931	393205.01834928,	291233.38679141
75.38446563	4937796.54751955	489025.61153457,	373377.84094588
78.38709105	4692506.02232173	616106.53869471,	491587.43898356
81.62486288	4379981.63490015	768731.32707080,	651487.03802905
84.88333066	4022477.60471096	928695.47527053,	849026.92001851
88.53684880	3588456.18642647	1097828.69425278,	1113915.11932075
91.95003694	3174764.93329851	1227346.69117965,	1398088.37552184
95.45986764	2765838.26429980	1316368.97421856,	1717992.76148164
98.82152958	2408002.33983926	1352777.57142202,	2039420.08873871
102.49076700	2067282.30341818	1339552.21817718,	2393365.47840464
106.81237945	1737245.78085394	1266062.07709334,	2796892.14205272
111.54039977	1457689.92601712	1138578.59371304,	3203931.48026984
116.54607825	1238006.91291257	979289.49296850,	3582903.59411893
120.00000000	1122254.21651160	867303.11063001,	3810642.67285839


0.00000000	5800000.00000000	200.00000000,	0.00000000
0.50000000	5799981.65591369	211.00644018,	7.33764613
1.45532060	5799943.75325493	233.74793795,	22.49880712
2.58850447	5799893.46291057	263.92186227,	42.61522716
3.85557641	5799829.50562748	302.29562113,	68.19875138
5.22136845	5799750.11404155	349.92942180,	99.95653665
6.66441929	5799652.60270457	408.43421554,	138.96307988
8.16965553	5799533.47977836	479.90462772,	186.61559392
9.72603571	5799388.35210947	566.97583296,	244.67205757
11.32521163	5799211.76858109	672.91742497,	315.31399394
12.96075084	5798997.00253377	801.76378596,	401.23368027
14.62764310	5798735.77006251	958.48284149,	505.74709600
16.32196939	5798417.87275884	1149.19001431,	632.93722685
18.04067022	5798030.74770376	1381.41762494,	787.83467130
19.78137871	5797558.90133906	1664.45365749,	976.64500346
21.54229807	5796983.19635716	2009.76824576,	1207.03539708
23.32211109	5796279.95111610	2431.55192761,	1488.49695629
25.11991383	5795419.79832743	2947.39723490,	1832.80443767
26.93516862	5794366.23257583	3579.16528582,	2254.60213835
28.76767323	5793073.75272875	4354.09280725,	2772.15446400
30.61754477	5791485.47270867	5306.21402390,	3408.31326744
32.48521776	5789530.02820957	6478.19850995,	4191.77328048
34.37145734	5787117.54118653	7923.74412172,	5158.71469175
36.27738968	5784134.30786322	9710.71941774,	6354.97271904
38.20455374	5780435.73237575	11925.33218454,	7838.93543971
40.15498121	5775836.80773739	14677.72617635,	9685.46608627
42.13131569	5770099.09694828	18109.60568404,	11991.29736768
44.13698959	5762912.59442095	22404.81001298,	14882.59556607
46.17649039	5753869.86607368	27804.31004538,	18525.82388094
48.25546451	5742429.97608109	34626.96601689,	23143.05790202
50.38041831	5727870.31374758	43296.90731326,	29032.77893916
52.56240310	5709182.99544342	54402.79439684,	36614.21015974
54.81743378	5684929.01270038	68779.86458875,	46491.12271087
57.17077991	5652948.80988069	87672.20979247,	59578.98032685
59.66766847	5609713.54165072	113095.29340276,	77391.16494652
60.00000000	5603115.57679695	116962.94281772,	80121.48038534


60.00000000	5603115.57679695	116962.94281772,	80121.48038534
60.50000000	5600712.91114277	115219.56707695,	84267.52178028
