0.00000000	5800000.00000000	200.00000000,	0.00000000
0.50000000	5799981.65591369	211.00644018,	7.33764613
1.37603285	5799947.04873281	231.77066363,	21.18060356
2.40945169	5799901.82089827	258.90712865,	39.27197308
3.55927277	5799845.24884431	292.84986761,	61.90128808
4.79463637	5799776.17799292	334.29147674,	89.53053033
6.09624556	5799692.80400094	384.31434520,	122.88165385
7.45038139	5799592.80013925	444.31419854,	162.88566221
8.84684836	5799473.29446772	516.01375263,	210.69177965
10.27781100	5799330.80955211	601.49882562,	267.69162227
11.73711237	5799161.17195838	703.27255945,	335.55548217
13.21983870	5798959.39551779	824.32534495,	416.27913727
14.72202517	5798719.53750531	968.22095112,	512.24154358
16.24044780	5798434.52470084	1139.20065696,	626.27464220
17.77247128	5798095.94473624	1342.30811621,	761.74714756
19.31593457	5797693.79674080	1583.53850783,	922.66475136
20.86906339	5797216.19385576	1870.01637427,	1113.78976997
22.43040204	5796649.00856478	2210.20750015,	1340.78393508
23.99875999	5795975.44988204	2614.17129501,	1610.37882295
25.57316969	5795175.55916311	3093.86146282,	1930.57937408
27.15285323	5794225.60854376	3663.48433105,	2310.90712519
28.73719625	5793097.38264364	4339.92613953,	2762.69121683
30.32572766	5791757.32002744	5143.26294216,	3299.41703040
31.91810450	5790165.48578087	6097.36966522,	3937.14455392
33.51410106	5788274.34015174	7230.64843783,	4695.01141043
35.11360204	5786027.26014252	8576.90075744,	5595.83910004
36.71659939	5783356.76069472	10176.37363809,	6666.86566719
38.32319284	5780182.34896286	12077.01696241,	7940.63407473
39.93359422	5776407.92811106	14335.99831666,	9456.07357228
41.54813582	5771918.64463862	17021.53332279,	11259.82203859
43.16728340	5766577.04332969	20215.10489807,	13407.85177224
44.79165474	5760218.35339834	24014.16544208,	15967.48115958
46.42204476	5752644.67359882	28535.44383573,	19019.88256545
48.05901116	5743620.43283082	33917.41597950,	22662.15118967
49.70312454	5732864.37618902	40324.74405498,	27010.87975600
51.35588846	5720033.36055184	47957.43009124,	32209.20935692
53.01908683	5704711.96763631	57056.25055557,	38431.78180812
54.69491691	5686394.81388535	67912.17441941,	45893.01169524
56.38609954	5664463.95234003	80878.13508234,	54857.91257763
58.09603331	5638159.03390224	96384.22908269,	65656.73701508
59.82900822	5606537.15909543	114957.65131376,	78705.18959081
61.59051004	5568417.55262699	137249.39419466,	94533.05317835
63.38766726	5522303.09600769	164070.93769394,	113825.96629837
65.22993226	5466265.05681002	196446.31679287,	137488.62639711
67.13016684	5397766.22180657	235689.08708474,	166744.69110869
69.10647179	5313374.19319045	283522.25321708,	203303.55359247
71.18550108	5208262.25325838	342278.70271409,	249659.04402754
73.40907963	5075252.15380663	415270.28689779,	309677.55929558
75.84941212	4902702.82390253	507571.84131008,	389925.33478739
78.65294126	4668672.69901778	628126.50770655,	503400.79327567
81.51690343	4391149.22205858	763471.48047590,	645579.29746552
84.39566138	4078230.88739021	904877.58104397,	817091.53156583
87.53532723	3709509.83225590	1053747.22302910,	1036942.94471500
90.63894788	3333026.03137454	1181946.63714658,	1285227.33147888
93.48611264	2992430.59406959	1272458.50722637,	1535310.89870404
96.37236375	2664847.48382910	1331062.82069410,	1804289.69547680
99.27669962	2362759.62087647	1354016.26166922,	2083424.11745431
102.42925656	2072534.69199376	1340186.80539318,	2387478.50261307
106.04442347	1790395.65232635	1282826.96354324,	2726977.38413041
109.93810514	1543716.51045417	1185580.50222851,	3070902.98731733
113.61225641	1358337.89234188	1074159.20288617,	3367702.90477195
117.36177893	1208334.86792952	952679.23976598,	3639185.89230451
120.00000000	1122254.40903560	867303.01856757,	3810642.57239683


0.00000000	5800000.00000000	200.00000000,	0.00000000
0.50000000	5799981.65591369	211.00644018,	7.33764613
1.45532060	5799943.75325493	233.74793795,	22.49880712
2.58731975	5799893.51874084	263.88836452,	42.59289464
3.85049564	5799829.77981176	302.13111379,	68.08907445
5.20874857	5799750.90205796	349.45662552,	99.64131653
6.63981563	5799654.39469453	407.35906440,	138.24624108
8.12796513	5799537.04427961	477.76604122,	185.18967917
9.66158998	5799394.85380852	563.07508636,	242.07110512
11.23184101	5799222.93092589	666.22062067,	310.84845344
12.83182649	5799015.33090116	790.76802197,	393.90107687
14.45610039	5798764.85656665	941.03344637,	494.10998698
16.10031591	5798462.81111948	1122.23183291,	614.95704761
17.76098041	5798098.69644630	1340.65745138,	760.64610232
19.43527641	5797659.84691378	1603.90296247,	936.25012375
21.12092747	5797130.98583640	1921.12456866,	1147.88959494
22.81609603	5796493.68875352	2303.36263850,	1402.94860798
24.51930470	5795725.73400019	2763.92931280,	1710.33668701
26.22937524	5794800.31662529	3318.87716726,	2080.80620745
27.94538137	5793685.09625182	3987.56614658,	2527.33760159
29.66661248	5792341.04268765	4793.34985975,	3065.60745260
31.39254645	5790721.03459193	5764.40713747,	3714.55827060
33.12283005	5788768.15573933	6934.75078420,	4497.09347646
34.85726611	5786413.61971264	8345.45305349,	5440.92723387
36.59580678	5783574.23616698	10046.13705421,	6579.62677880
38.33855288	5780149.30876051	12096.79573535,	7953.89550414
40.08575922	5776016.82441967	14570.01627567,	9613.15930467
41.83784656	5771028.75283131	17553.70904489,	11617.53812380
43.59542097	5765005.21955173	21154.46886708,	14040.31158119
45.35930220	5757727.23914860	25501.73525634,	16971.02559506
47.13056319	5748927.58586812	30752.97245028,	20519.44168160
48.90957381	5738285.84273872	37096.22296353,	24817.93429774
50.69773829	5725407.19784459	44762.15525039,	30030.64690502
52.49712450	5709805.15548583	54033.44318844,	36361.40132573
