0.00000000	1.00000000
0.00100000	0.99950000
0.00300000	0.99850000
0.00700000	0.99650003
0.01500000	0.99250028
0.03100000	0.98450248
0.06300000	0.96852083
0.12700000	0.93667059
0.21629489	0.89269409
0.31775445	0.84378383
0.42479989	0.79393302
0.53501183	0.74507864
0.64785879	0.69826678
0.76363140	0.65423602
0.88305583	0.61367389
1.00722420	0.57734453
1.13145420	0.54751087
1.25330041	0.52502255
1.37257413	0.50982900
1.48982139	0.50168140
1.60575145	0.50035284
1.72106441	0.50568559
1.83642273	0.51758991
1.95246951	0.53603484
2.06986170	0.56104236
2.18931134	0.59268762
2.31163824	0.63110672
2.43784524	0.67651528
2.56923834	0.72924501
2.70207964	0.78729621
2.83281866	0.84809221
2.96098677	0.91021485
3.08716471	0.97281549
3.21219392	1.03527424
3.33801970	1.09757158
3.46667451	1.15966552
3.59945433	1.22097008
3.73750039	1.28056499
3.88208334	1.33723803
4.03482610	1.38943972
4.18853931	1.43281343
4.33839900	1.46527954
4.48425665	1.48686709
4.62737569	1.49800061
4.76925484	1.49898639
4.91133948	1.48992409
5.05503101	1.47071838
5.20178934	1.44109167
5.35328163	1.40057147
5.51159864	1.34843896
5.67961807	1.28361275
5.86172080	1.20439793
6.05621303	1.11240456
6.25543232	1.01382183
6.28318531	0.99995698
